,host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,city,zipcode,market,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_for_years
12,526354,within a day,0.75,0.25,f,washington park,0,t,t,washington park,denver,80209,Denver,39.69688,-104.96231999999999,t,house,entire home/apt,12,4.0,5.0,7.0,real bed,411.0,5500.0,500.0,150.0,8,30.0,3,21,3,4,1125,1125,3.1,1125.0,0,15,21,121,26,2,8.783561643835617,0.0410958904109589,99.0,10.0,10.0,10.0,10.0,10.0,9.0,t,t,strict_14_with_grace_period,t,t,1,1,0,0,0.24,9.197260273972603
13,923646,within an hour,1.0,1.0,f,south park hill,1,t,t,south park hill,denver,80220,Denver,39.7416,-104.93613,t,condominium,private room,1,1.0,1.0,1.0,real bed,38.0,1100.0,0.0,0.0,1,0.0,14,70,14,14,70,70,14.0,70.0,0,0,22,111,116,3,8.860273972602739,0.4849315068493151,94.0,10.0,9.0,9.0,10.0,10.0,9.0,t,f,moderate,t,t,1,0,1,0,1.08,8.90958904109589
14,10730,,,,f,highland,1,t,f,highland,denver,80211,Denver,39.757059999999996,-105.01021999999999,t,condominium,private room,4,1.5,1.0,2.0,real bed,66.0,3000.0,200.0,75.0,4,0.0,30,180,30,30,180,180,30.0,180.0,0,4,34,308,11,0,4.838356164383562,2.8986301369863012,100.0,10.0,10.0,10.0,10.0,10.0,10.0,t,f,strict_14_with_grace_period,f,f,1,0,1,0,0.19,11.287671232876713
15,1475137,within an hour,1.0,,f,lodo,2,t,f,union station,denver,80202,Denver,39.75035,-104.99623999999999,t,apartment,entire home/apt,4,,2.0,3.0,real bed,165.0,,1000.0,175.0,4,25.0,30,365,30,30,365,365,30.0,365.0,0,26,56,331,1,0,1.989041095890411,1.989041095890411,80.0,10.0,10.0,10.0,8.0,10.0,6.0,t,f,strict_14_with_grace_period,f,f,1,1,0,0,0.04,8.56986301369863
16,930851,within a day,1.0,0.81,f,washington park west,1,t,t,washington park west,denver,80209,Denver,39.69859,-104.9813,t,townhouse,entire home/apt,7,2.5,3.0,3.0,real bed,180.0,5300.0,0.0,110.0,6,20.0,3,500,3,3,500,500,3.0,500.0,0,1,10,184,138,8,8.295890410958904,0.4191780821917808,96.0,10.0,10.0,10.0,9.0,10.0,10.0,t,f,moderate,f,t,1,1,0,0,1.37,8.901369863013699
17,269892,within a few hours,1.0,0.82,t,baker,1,t,t,baker,denver,80223,Denver,39.71816,-104.9962,t,townhouse,private room,4,1.0,1.0,1.0,real bed,70.0,1200.0,0.0,30.0,1,25.0,1,1125,1,1,1125,1125,1.0,1125.0,2,2,2,180,99,34,4.950684931506849,0.31232876712328766,99.0,10.0,10.0,10.0,10.0,10.0,10.0,t,f,strict_14_with_grace_period,f,f,1,0,1,0,1.64,9.687671232876712
18,10951,within an hour,1.0,1.0,t,city park west,1,t,t,city park west,denver,80218,Denver,39.7413,-104.96933999999999,t,house,private room,2,1.5,1.0,1.0,real bed,55.0,,,,1,15.0,2,30,2,2,1125,1125,2.0,1125.0,0,27,57,146,325,28,8.002739726027396,0.29863013698630136,97.0,10.0,10.0,10.0,10.0,10.0,10.0,t,f,strict_14_with_grace_period,f,f,1,0,1,0,3.34,11.282191780821918
19,2563107,within an hour,1.0,0.81,t,city park west,2,t,t,city park west,denver,80218,Denver,39.744279999999996,-104.96285,t,apartment,entire home/apt,2,1.0,1.0,1.0,real bed,110.0,2400.0,0.0,0.0,1,0.0,60,180,60,60,1125,1125,60.0,1125.0,0,0,24,114,201,2,7.956164383561644,0.07671232876712329,96.0,10.0,9.0,10.0,10.0,10.0,10.0,t,f,moderate,f,f,1,1,0,0,2.08,8.065753424657535
20,1313972,within an hour,1.0,1.0,t,city park,3,t,t,city park,denver,80206,Denver,39.74065,-104.95846,t,house,private room,2,1.0,1.0,1.0,real bed,50.0,1545.0,200.0,60.0,1,0.0,30,1125,30,30,1125,1125,30.0,1125.0,0,14,44,319,150,3,7.4082191780821915,0.3698630136986301,95.0,10.0,10.0,10.0,10.0,10.0,9.0,t,f,strict_14_with_grace_period,t,f,3,1,2,0,1.66,8.698630136986301
21,2832150,,,,f,five points,0,t,t,five points,denver,80205,Denver,39.76746,-104.97948000000001,t,loft,entire home/apt,4,1.0,2.0,2.0,real bed,200.0,2700.0,1000.0,50.0,1,15.0,180,180,180,180,180,180,180.0,180.0,0,0,0,0,38,0,6.178082191780822,3.4712328767123286,92.0,9.0,9.0,9.0,10.0,9.0,9.0,t,t,strict_14_with_grace_period,f,f,1,1,0,0,0.51,7.991780821917808
